trip_id,route_id,service_id,direction_id,shape_id,trip_headsign,trip_short_name,wheelchair_accessible,bikes_allowed,block_id,trip_headsign_code
Reduced_Service-Weekday-33-A-OB-1220-0d03731,33,Reduced_Service,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-17-A-IB-0932-0d4651a,17,Weekday,1,17-A-IB,To Beaty Towers,17,0,0,,
Sunday-Su-9-A-IB-1045-0d5526b,9,Sunday,1,9-A-IB,To The Hub,9,0,0,,
Weekday-Weekday-37-A-OB-1510-0d56a83,37,Weekday,0,37-A-OB,To Butler Plaza,37,0,0,,
Saturday-Sa-38-A-IB-0854-0d67001,38,Saturday,1,38-A-IB,To The Hub,38,0,0,,
Saturday-Sa-7-A-IB-1230-0d79aa4,7,Saturday,1,7-A-IB,To Downtown Station,7,0,0,,
Weekday-Weekday-118-A-IB-1530-0d8c06d,118,Weekday,1,118-A-IB,To The Hub,118,0,0,,
Weekday-Weekday-3-A-IB-1630-0dcea52,3,Weekday,1,3-A-IB,To Downtown Station,3,0,0,,
Saturday-Sa-12-A-IB-0852-0dd2672,12,Saturday,1,12-A-IB,To The Hub,12,0,0,,
Saturday-Sa-1-A-OB-1454-0de15d4,1,Saturday,0,1-A-OB,To Butler Plaza,1,0,0,,
Saturday-Sa-37-A-IB-0900-0de646a,37,Saturday,1,37-A-IB,To Reitz Union,37,0,0,,
Weekday-Weekday-5-A-IB-0732-0dee037,5,Weekday,1,5-A-IB,To Downtown Station,5,0,0,,
Reduced_Service-Weekday-9-A-IB-1922-0dfd9dd,9,Reduced_Service,1,9-A-IB,To The Hub,9,0,0,,
Saturday-Sa-11-A-OB-0900-0e04793,11,Saturday,0,11-A-OB,To Eastwood Meadows,11,0,0,,
Weekday-Weekday-7-A-IB-1430-0e06d15,7,Weekday,1,7-A-IB,To Downtown Station,7,0,0,,
Reduced_Service-Weekday-9-A-OB-2138-0e1fd10,9,Reduced_Service,0,9-A-OB,To Hunters Run,9,0,0,,
Saturday-Sa-37-A-OB-1325-0e3dd81,37,Saturday,0,37-A-OB,To Butler Plaza,37,0,0,,
Weekday-Weekday-13-A-IB-1412-0e50ffe,13,Weekday,1,13-A-IB,To US 441,13,0,0,,
Weekday-Weekday-38-A-IB-1402-0e59f95,38,Weekday,1,38-A-IB,To The Hub,38,0,0,,
Reduced_Service-Weekday-17-A-OB-0710-0e5f853,17,Reduced_Service,0,17-A-OB,To Downtown Station,17,0,0,,
Saturday-Sa-13-A-IB-1515-0e7087b,13,Saturday,1,13-A-IB,To US 441,13,0,0,,
Reduced_Service-Weekday-20-A-OB-1454-0e83240,20,Reduced_Service,0,20-A-OB,To Reitz Union,20,0,0,,
Sunday-Su-5-A-IB-1052-0e955d1,5,Sunday,1,5-A-IB,To Downtown Station,5,0,0,,
Weekday-Weekday-12-A-IB-0822-0e9c177,12,Weekday,1,12-A-IB,To The Hub,12,0,0,,
Reduced_Service-Weekday-52-A-IB-1700-0ea23f2,52,Reduced_Service,1,52-A-IB,To Reitz Union,52,0,0,,
Weekday-Weekday-33-A-IB-1417-0ebfe44,33,Weekday,1,33-A-IB,To Butler Plaza,33,0,0,,
Saturday-Sa-9-A-IB-1645-0ec8598,9,Saturday,1,9-A-IB,To The Hub,9,0,0,,
Weekday-Weekday-23-A-IB-1100-0f10f83,23,Weekday,1,23-A-IB,To Butler Plaza,23,0,0,,
Weekday-Weekday-23-A-OB-1430-0f119a8,23,Weekday,0,23-A-OB,To Santa Fe College,23,0,0,,
Weekday-Weekday-37-A-IB-1245-0f124dd,37,Weekday,1,37-A-IB,To Reitz Union,37,0,0,,
Reduced_Service-Weekday-75-A-OB-1745-0f33bb7,75,Reduced_Service,0,75-A-OB,To Butler Plaza,75,0,0,,
Reduced_Service-Weekday-38-A-OB-1630-0f7ecb6,38,Reduced_Service,0,38-A-OB,To Gainesville Place,38,0,0,,
Reduced_Service-Weekday-23-A-OB-0830-0f90bc6,23,Reduced_Service,0,23-A-OB,To Santa Fe College,23,0,0,,
Reduced_Service-Weekday-75-A-OB-1615-0f919e9,75,Reduced_Service,0,75-A-OB,To Butler Plaza,75,0,0,,
Saturday-Sa-10-A-IB-0930-0f989de,10,Saturday,1,10-A-IB,To Downtown Station,10,0,0,,
Reduced_Service-Weekday-20-A-OB-0918-0f9de34,20,Reduced_Service,0,20-A-OB,To Reitz Union,20,0,0,,
Reduced_Service-Weekday-10-A-IB-1534-0fa94a6,10,Reduced_Service,1,10-A-IB,To Downtown Station,10,0,0,,
Saturday-Sa-13-A-OB-1630-0fab49e,13,Saturday,0,13-A-OB,To Alight Apts,13,0,0,,
Weekday-Weekday-37-A-OB-0840-0faffa2,37,Weekday,0,37-A-OB,To Butler Plaza,37,0,0,,
Reduced_Service-Weekday-9-A-IB-0807-0fb0d55,9,Reduced_Service,1,9-A-IB,To The Hub,9,0,0,,
Weekday-Weekday-33-A-IB-1610-0fc27aa,33,Weekday,1,33-A-IB,To Butler Plaza,33,0,0,,
Saturday-Sa-33-A-OB-1605-0fd6746,33,Saturday,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-17-A-IB-2012-0fdec27,17,Weekday,1,17-A-IB,To Beaty Towers,17,0,0,,
Weekday-Weekday-33-A-OB-0912-0fefd82,33,Weekday,0,33-A-OB,To The Hub,33,0,0,,
Weekday-Weekday-9-A-OB-1853-0ffeab0,9,Weekday,0,9-A-OB,To Hunters Run,9,0,0,,
Weekday-Weekday-33-A-IB-1442-1009577,33,Weekday,1,33-A-IB,To Butler Plaza,33,0,0,,
Saturday-Sa-12-A-OB-1150-100edca,12,Saturday,0,12-A-OB,To Dollar General,12,0,0,,
Reduced_Service-Weekday-9-A-IB-0722-1019472,9,Reduced_Service,1,9-A-IB,To The Hub,9,0,0,,
Reduced_Service-Weekday-20-A-OB-1806-101c06c,20,Reduced_Service,0,20-A-OB,To Reitz Union,20,0,0,,
Reduced_Service-Weekday-13-A-IB-1745-1024675,13,Reduced_Service,1,13-A-IB,To US 441,13,0,0,,
Weekday-Weekday-5-A-IB-1252-1024a5d,5,Weekday,1,5-A-IB,To Downtown Station,5,0,0,,
Weekday-Weekday-52-A-OB-0900-10268a2,52,Weekday,0,52-A-OB,To Jonesville,52,0,0,,
Reduced_Service-Weekday-8-A-IB-1930-1037289,8,Reduced_Service,1,8-A-IB,To UF Health,8,0,0,,
Weekday-Weekday-5-A-OB-1810-103ef01,5,Weekday,0,5-A-OB,To Oaks Mall,5,0,0,,
Reduced_Service-Weekday-33-A-OB-1425-1043b58,33,Reduced_Service,0,33-A-OB,To The Hub,33,0,0,,
